Winner,Move Count,Moves,Final Position
Black,44,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Qxd3 Qxd3 Bc4 Qd8+ Rxd8 Bc5 Rd1+ Rxd1 Bxa2 Rd8+ Kxd8 O-O Be6 Rf8+ Rxf8 Be7+ Kd7 Bd6 cxd6 Kh1 Rf1#,8/pp1k2pp/2npb3/4p3/4P3/2P5/1P4PP/5r1K w - - 2 23
Black,44,Nf3 Nf6 d3 Nc6 Nc3 e5 e4 d5 Be3 d4 Bg5 dxc3 Bxf6 cxb2 Bxe5 f6 c3 fxe5 Nxe5 Nxe5 f3 Nxf3+ Qxf3 c6 Qf7+ Kxf7 Be2 Bd6 O-O+ Bf5 Rxf5+ Kg8 Rf8+ Qxf8 Bf3 Bxh2+ Kh1 Bd6 Rf1 Qxf3 Rxf3 b1=Q+ Rf1 Qxf1#,r5kr/pp4pp/2pb4/8/4P3/2PP4/P5P1/5q1K w - - 0 23
Black,50,Nf3 Nf6 Nc3 Nc6 e4 Nxe4 Nxe4 e5 d4 d5 dxe5 dxe4 Qxd8+ Kxd8 c3 exf3 Bd3 fxg2 f3 f6 Bf5 Bxf5 Be3 fxe5 O-O-O+ Bd6 Rxd6+ cxd6 Rf1 gxf1=R+ Kd2 Rf2+ Kc1 Rd2 Kxd2 Rf8 Kc1 Rc8 Bxa7 Be6 Bb6+ Ke8 Bd4 Nxd4 Kb1 Bd7 cxd4 Bf5+ Ka1 Rc1#,4kr2/1p4pp/3p4/4pb2/3P4/5P2/PP5P/K1r5 w - - 3 26
Black,50,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Nxd5 Qxd5 c3 Rb8 Bc4 Qxe4+ Be3 Qxe3+ fxe3 Bd6 Nxe5 Bxe5 dxe5 Be6 exf6 O-O fxg7 f6 Qc1 Kxg7 Bxe6 Kh8 O-O Rbe8 Rxf6 Rxe6 Rxf8+ Kg7 Rf7+ Kxf7 Qf1+ Kg8 Qf7+ Kxf7 Rf1+ Kg8 Rf8+ Kxf8 e4 Rxe4 Kh1 Re1#,5k2/ppp4p/2n5/8/8/2P5/PP4PP/4r2K w - - 2 26
White,47,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Bd2 dxe4 Bxe4 Qxd2+ Qxd2 O-O Bxc6 b5 O-O-O Rae8 Bd5 c6 Bxe6+ Rxe6 Rhf1 Rxf1 Rxf1 Re8 Qd5+ Kh8 Qxe5 Rxe5 Rf3 Re1+ Kd2 Re4 Rf8#,5R1k/p5pp/2p5/1p6/4r3/2N5/PPPK2PP/8 b - - 5 24
Black,38,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Ng1 Be6 Nf3 Nxe4 Bxe4 f6 Be3 dxe4 Nxe5 fxe5 f3 Nxd4 Qxd4 c6 b3 exd4 fxe4 dxc3 O-O Bxh2+ Kh1 Bd6 Rf8+ Rxf8 Rf1 Rxf1+ Bg1 Qh4#,r3k3/pp4pp/2pbb3/8/4P2q/1Pp5/P1P3P1/5rBK w q - 2 20
White,31,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 b6 exd5 Bxd5 Qh5+ Kf8 O-O+ Bf7 Qxf7#,r4k1r/p1p2Qpp/1pn5/4p3/8/2PBB3/PP4PP/R4RK1 b - - 0 16
White,65,h3 Nf6 Nf3 Nc6 Nc3 e5 b4 d5 e4 Bd6 d4 Be6 Bd3 Nxe4 Bxe4 f6 Be3 dxe4 Nxe5 fxe5 f3 Nxd4 Qxd4 c5 fxe4 cxd4 Bxd4 exd4 O-O dxc3 Rf8+ Rxf8 Rf1 Rxf1+ Kxf1 Qf6+ Kg1 Qd4+ Kh1 Qxe4 Kg1 Qxg2+ Kxg2 Bd5+ Kg1 Bh2+ Kf1 Bh1 h4 Bg2+ Kxg2 Bd6 Kg1 Kf7 h5 Bc5+ bxc5 Kg8 c6 Rf8 cxb7 Rf1+ Kxf1 Kh8 b8=Q#,1Q5k/p5pp/8/7P/8/2p5/P1P5/5K2 b - - 0 33
White,55,Nf3 Nf6 Nc3 Nc6 e4 e5 h3 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Na4 dxe4 Nc3 exf3 dxe5 fxg2 h4 fxe5 Qxd6 cxd6 f3 Qxh4+ Rxh4 O-O Rh1 gxh1=R+ Kf2 Rxf3+ Kxf3 Rf8+ Kg2 Rd8 Kxh1 Bd5+ Nxd5 Rf8 c3 Rf1+ Rxf1 Nd4 cxd4 exd4 Nf6+ gxf6 Bxd4 d5 Rg1+ Kh8 Bxf6#,7k/pp5p/5B2/3p4/8/8/PP6/6RK b - - 0 28
Black,110,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nd2 Nxe4 Qb1 Nxc3 Ne4 Nxe4 Bxe4 Qf6 f3 a5 c3 dxe4 Qxe4 Nxd4 cxd4 c6 Qxc6+ bxc6 dxe5 Qxe5 O-O Qxe3+ Rf2 Qxf2+ Kxf2 f6 Kg1 Kf8 Rf1 Bxh2+ Kh1 Bd6 Kg1 Bc5+ Rf2 Bxf2+ Kh1 Bd4 Kh2 Be5+ Kg1 f5 Kh1 Bxb2 Kg1 Bd4+ Kh1 Re8 Kh2 Bg8 Kh1 Bxa2 Kh2 Be6 Kh1 Kg8 Kh2 Be5+ Kg1 Bd4+ Kh1 Rf8 Kh2 Be5+ Kg1 Bd4+ Kh1 Re8 Kh2 Be5+ Kg1 Bd4+ Kh1 Rf8 Kh2 Be5+ f4 Bxf4+ Kg1 Bd6 Kh1 Re8 g3 Bd5+ Kh2 Re2+ Kg1 Re1+ Kh2 Re2+ Kg1 Re1+ Kh2 Re2+ Kg1 Re1+ Kh2 Rh1#,6kr/6pp/2pb4/p2b1p2/8/6P1/7K/7r w - - 15 56
Black,24,Nf3 f6 Nc3 Nc6 e4 h5 d4 e5 Bd3 d5 Be3 Nge7 Nxe5 fxe5 Kf1 Nf5 Qxh5+ Rxh5 f3 Nxe3+ Kg1 Rxh2 Nxd5 Rxg2#,r1bqkb2/ppp3p1/2n5/3Np3/3PP3/3BnP2/PPP3r1/R5KR w q - 0 13
White,35,Nf3 d5 Nc3 Nf6 e4 Bg4 d4 Nc6 Nxd5 Bxf3 Nxf6+ exf6 c3 Bxe4 f3 Qxd4 fxe4 Qd2+ Bxd2 Bd6 Bd3 O-O Be3 Rae8 O-O Bxh2+ Kxh2 Rxe4 Bxe4 Re8 Bxc6 Rxe3 Qd8+ Re8 Qxe8#,4Q1k1/ppp2ppp/2B2p2/8/8/2P5/PP4PK/R4R2 b - - 0 18
Black,46,Nf3 Nf6 Nc3 Nc6 e4 e5 a4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 b4 Nxf3+ Qxf3 c6 Nxf6+ Qxf6 Qxc6+ bxc6 f3 Qh4+ Kf1 Qc4+ Kg1 Qf1+ Kxf1 O-O c3 Rxf3+ Kg1 Rxe3 Rf1 Rxc3 Rf8+ Rxf8 b5 Rc1#,5rk1/p5pp/2pb4/1P2p3/P7/8/6PP/2r3KR w - - 1 24
Black,46,Nf3 f6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Nge7 Be3 Nf5 Bg5 Nfxd4 Nxd4 Nxd4 Na4 c6 Nc3 Bd6 Bxf6 Be6 Bxe5 Bxe5 f3 Nxf3+ Qxf3 Bxc3+ Kf1 dxe4 Qxe4 Qxd3+ cxd3 O-O+ Kg1 Rf3 Qxe6+ Rf7 Qxf7+ Kxf7 Rf1+ Kg8 Rf8+ Rxf8 d4 Bxd4#,5rk1/pp4pp/2p5/8/3b4/8/PP4PP/6KR w - - 0 24
White,55,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 Nb5 Nxe4 Nd6+ cxd6 Bxe4 f6 f3 dxe4 fxe4 Nxd4 Qxd4 Bxd4 c3 Bxc3+ Kf1 Bxb2 Re1 Be5 Bxa7 f5 Bd4 fxe4 Rd1 O-O+ Kg1 Bxd4+ Rxd4 Rxa2 Rxd6 Rxg2+ Kxg2 Rf2+ Kxf2 Qf6+ Kg1 Qd4+ Rxd4 Bd5 Rxd5 Kh8 Rd8#,3R3k/1p4pp/8/8/4p3/8/7P/6KR b - - 2 28
White,55,Nf3 Nf6 Nc3 Nd5 Nxd5 Nc6 e4 e5 d4 f6 Nxf6+ Qxf6 c3 Qxf3 Bd3 Qh3 f3 b6 Be3 d5 exd5 Qxg2 dxc6 Qxb2 dxe5 Bb7 cxb7 Qxc3+ Bd2 Bc5 Bxc3 c6 bxa8=R+ Kf7 Rxa7+ Kg8 Qe2 g6 Rxh7 Rxh7 Bc4+ Rf7 Rc1 Be3 Bxf7+ Kh8 Qxe3 g5 Be6 g4 Ba5 gxf3 Bc3 b5 Qh6#,7k/8/2p1B2Q/1p2P3/8/2B2p2/P6P/2R1K2R b K - 1 28
Black,44,Nf3 Nc6 Nc3 Nf6 e4 e5 d4 b6 Bd3 d5 Be3 Bd6 Nxe5 Bxe5 f3 Be6 dxe5 Nxe4 Bf4 Nxc3 bxc3 f6 O-O fxe5 Bxe5 Nxe5 Rc1 Nxf3+ Qxf3 c6 Qf8+ Rxf8 Rxf8+ Kxf8 Rf1+ Kg8 Bxh7+ Kh8 Be4 dxe4 Rf8+ Qxf8 Kh1 Qf1#,r6k/p5p1/1pp1b3/8/4p3/2P5/P1P3PP/5q1K w - - 2 23
White,31,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 Bf5 dxe5 Bxe4 Bxe4 f6 Qxd5 Qxd5 Bxd5 fxe5 Bxc6+ Kf8 O-O+ Kg8 Bd5#,r5kr/ppp3pp/8/3Bp3/8/2N1B3/PPP3PP/R4RK1 b - - 4 16
White,41,Nf3 Nf6 Nc3 Nc6 e4 Nh5 d4 f5 Bd3 Nf6 Be3 fxe4 Bxe4 e5 Bxc6 dxc6 Nxe5 Qxd4 Qxd4 Bd6 f3 Bxe5 Qxe5+ Kf8 Qxf6+ gxf6 Bc5+ Kg8 O-O Be6 Bxa7 Rf8 Bd4 Bxa2 Bxf6 Be6 Be5 Rxf3 Ra8+ Rf8 Raxf8#,5Rkr/1pp4p/2p1b3/4B3/8/2N5/1PP3PP/5RK1 b - - 0 21
White,45,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Nb8 Na4 Nc6 Nc3 Be6 Nxe5 Bxe5 f3 Ng8 dxe5 Nf6 exf6 dxe4 fxg7 Qxd3 cxd3 f6 fxe4 O-O-O O-O Rxd3 Qxd3 Rf8 gxf8=R+ Nd8 Qd7+ Kxd7 Rad1+ Kc8 R8xf6 Nc6 Rf8+ Nd8 Rfxd8#,2kR4/ppp4p/4b3/8/4P3/2N1B3/PP4PP/3R1RK1 b - - 0 23
Black,44,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 g3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Qb1 Bxf3 dxe5 fxe5 O-O O-O Bxa7 Rc8 Bd4 Nxd4 Qe1 c6 Qxe5 h6 Qxg7+ Kxg7 Rae1 Kg8 Nd5 Bxd5 f3 Nxf3+ Rxf3 Qb6+ Rf2 Qxf2#,2r2rk1/1p6/2pb3p/3b4/8/6P1/PPP2q1P/4R1K1 w - - 0 23
Black,82,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 g3 Nxe4 Ba6 Nxg3 Bxb7 Ne4 Bxc6+ Kf8 Nb1 f6 Nc3 Nxc3 Bxd5 c6 Rg1 cxd5 bxc3 Bg8 Ke2 Be6 Rxg7 exd4 Qc1 dxe3 fxe3 Kxg7 Qg1+ Kf8 Qg7+ Kxg7 Rg1+ Kf8 Rg8+ Kxg8 Kf1 Rc8 e4 dxe4 Kg1 exf3 Kh1 Rxc3 Kg1 Bxh2+ Kh1 Bd6 Kg1 Qb6+ Kh1 Qg1+ Kxg1 Bc5+ Kh1 Bd6 Kg1 Bc5+ Kh1 Bd6 Kg1 Bc5+ Kh1 Bd6 Kg1 Bc5+ Kh1 Re3 c3 Re1+ Kh2 Bd6#,6kr/p6p/3bbp2/8/8/2P2p2/P6K/4r3 w - - 3 42
Black,42,Nf3 Nf6 b4 Nc6 Nc3 e5 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Qd2 dxe4 Nxe5 fxe5 f3 Nxd4 Qxd4 c6 fxe4 exd4 Bxd4 Qh4+ Kf1 O-O+ Kg1 Qxh2+ Rxh2 Rf1+ Rxf1 Bxh2+ Kh1 Bd6 Rf8+ Rxf8 Bxg7 Rf1#,6k1/pp4Bp/2pbb3/8/1P2P3/2N5/P1P3P1/5r1K w - - 1 22
White,85,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 Nb4 Bd3 Nxd3+ cxd3 d5 Be3 c6 Nxe5 Bd6 f3 Bxe5 dxe5 Be6 exf6 dxe4 fxg7 Bg4 fxe4 f6 gxh8=R+ Kf7 Rxh7+ Kg8 Rxb7 Be6 Rxa7 Qxd3 Rxa8+ Qd8 Rxd8+ Kh7 Rd7+ Kg8 Rd8+ Kg7 Rd7+ Kg8 Rd8+ Kh7 Rd7+ Kh8 Rd8+ Kh7 Rd7+ Kh8 Rd8+ Kh7 Bg1 Bxa2 Bd4 Be6 Rd7+ Kg8 Rd8+ Kh7 Rd7+ Kg8 Rd8+ Kh7 Rd7+ Kh8 Bxf6+ Kg8 Rd8+ Kh7 Rd7+ Kg8 Rd8+ Kh7 Rd7+ Kg8 Rd8+ Kf7 Rd4 Bb3 Rd7+ Ke6 Qd6#,8/3R4/2pQkB2/8/4P3/1bN5/1P4PP/R3K2R b KQ - 16 43
White,47,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Nxd4 Bxd4 Bxe5 f3 c6 Bxe5 Bc8 Bxf6 Be6 Nxd5 cxd5 c3 dxe4 fxe4 Qxd3 a3 Qxe4+ Kf1 Qxg2+ Kxg2 Bd5+ Qxd5 O-O Qxb7 Rae8 Qxa7 h6 Bxg7 f6 Bxf6 Re2+ Kg1 Rxb2 Qg7#,5rk1/6Q1/5B1p/8/8/P1P5/1r5P/R5KR b - - 1 24
Black,42,Nf3 Nf6 Nc3 Nc6 b3 e5 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 O-O Bxe6+ Rf7 Bxf7+ Kh8 Nxe5 fxe5 f3 Nxd4 Qxd4 c6 g3 exd4 Bf2 dxc3 Bxa7 Qe8+ Be3 Qxe3+ Kf1 Qxf3+ Kg1 Rxa2 Be6 Rxa1#,7k/1p4pp/2pbB3/8/8/1Pp2qP1/2P4P/r5KR w - - 0 22
White,89,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Qxd3 Qxd3 O-O O-O-O Rae8 Rhf1 Re7 Rxf8+ Kxf8 Rf1+ Kg8 Rf8+ Kxf8 Qd8+ Nxd8 Bxa7 Bg8 Kc2 Nc6 c4 Be6 Bd4 Nxd4+ Kb1 c6 h4 Bd7 h5 Be6 c5 Bxa2+ Kc1 Be6 Kb1 Kg8 Kc1 Ne2+ Kb1 Nc3+ bxc3 Re8 Kc1 Rf8 Kb1 Rf1+ Kb2 Rf2+ Kb1 Rxg2 c4 Rb2+ Kc1 Rc2+ Kxc2 Bd5 cxd5 cxd5 exd5 e4 Kb1 Kh8 c6 Kg8 cxb7 Kh8 b8=Q#,1Q5k/6pp/8/3P3P/4p3/8/8/1K6 b - - 0 45
White,67,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Nxd5 Nxd5 Bg5 f6 exd5 Be6 dxc6 Rg8 cxb7 c6 a4 exd4 Bxf6 Qxf6 c3 Qxf3 cxd4 Qxd1+ Rxd1 Rd8 f3 Rf8 O-O Bxh2+ Kh1 Bd6 Bxh7 Rxf3 Bg6+ Kf8 Rxf3+ Kg8 Bf7+ Kh8 Bxe6 Rf8 Rxf8+ Bxf8 Kg1 Bd6 b8=Q+ Kh7 Qxd6 Kh8 Qd8+ Kh7 Qh4+ Kg6 Qe4+ Kh6 Qe3+ Kh7 Qe4+ Kh8 Re1 c5 Qh4#,7k/p5p1/4B3/2p5/P2P3Q/8/1P4P1/4R1K1 b - - 1 34
Black,38,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 Rc1 Nxe4 Bxe4 f6 f3 dxe4 fxe4 Qxd4 Qxd4 Nxd4 Bxd4 c6 a3 Bxd4 Rf1 Bxc3+ Kd1 O-O-O+ Ke2 Rd2+ Ke1 Rxg2+ Kd1 Rd8#,2kr4/pp4pp/2p1bp2/8/4P3/P1b5/1PP3rP/2RK1R2 w - - 2 20
Black,64,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bc4 Bd6 Bxd5 Be6 Bxc6+ Kf8 Be3 Nxe4 Bxe4 f6 Nxe5 fxe5 f3 c6 dxe5 Bxe5 Rb1 Bxc3+ Kf1 Qxd1+ Rxd1 Bxb2 c3 Bxc3 Rd8+ Rxd8 Bc5+ Rd6 Bxd6+ Kg8 Bxh7+ Rxh7 Kg1 Rxh2 Be7 Rxg2+ Kf1 Rf2+ Kxf2 Bd4+ Kf1 Bc4+ Ke1 Bc3+ Kd1 Be2+ Kc1 Bxf3 Rh8+ Kxh8 Bd6 Bd2+ Kb1 Be4+ Ka1 Bc3#,7k/pp4p1/2pB4/8/4b3/2b5/P7/K7 w - - 6 33
White,41,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Be3 Be6 Nxe5 Bxe5 f3 Nxe4 fxe4 f6 dxe5 fxe5 Nxd5 Qxd5 c3 Qxd3 Qxd3 Bd7 Qxd7+ Kxd7 O-O-O+ Kc8 Rde1 Rf8 Rhf1 Rxf1 Rxf1 Kb8 Bxa7+ Rxa7 Rf8+ Nd8 Rxd8#,1k1R4/rpp3pp/8/4p3/4P3/2P5/PP4PP/2K5 b - - 0 21
White,81,Nf3 c5 Nc3 Nf6 e4 Nc6 d4 cxd4 Qxd4 e5 Qxe5+ Nxe5 Nxe5 a6 f3 d5 Bb5+ Bd7 Bxd7+ Qxd7 Be3 Bd6 Nxd5 Nxd5 exd5 Bxe5 c3 Bxc3+ Ke2 Qxd5 Kf1 Qxf3+ gxf3 f6 Re1 Ra7 Bd4+ Kf8 Re8+ Kxe8 Bxc3 Rf8 Bd4 a5 Bxf6 Rxf6 Kg1 Rg6+ Kf1 Rg1+ Kxg1 Kf8 Kf1 Kg8 Kg1 Ra8 Kf1 Rf8 Kg1 b5 a3 Rxf3 a4 Rf1+ Kxf1 bxa4 Kg1 Kh8 Kf1 Kg8 h3 Kh8 Kg1 Kg8 h4 Kh8 Rh2 Kg8 Rf2 Kh8 Rf8#,5R1k/6pp/8/p7/p6P/8/1P6/6K1 b - - 6 41
Black,98,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 b3 Be6 Be3 Nxe4 Nh4 Nxc3 Nf3 Ke7 Nxe5 Bc5 Nxc6+ bxc6 f3 Bxd4 Bxd4 f6 Bxc3 Kf8 Bxf6 Qxf6 c3 Qxc3+ Kf1 Qxd3+ Qxd3 Re8 Qxd5 h5 Qxe6 Rxe6 Re1 Rxe1+ Kxe1 a5 Rf1 Kg8 Ke2 g5 Ke1 Rh7 Rf2 Re7+ Kf1 Re1+ Kxe1 h4 Kf1 g4 Kg1 Kh7 Re2 gxf3 Re7+ Kg8 Re8+ Kh7 Re7+ Kg8 Re8+ Kh7 Re4 fxg2 Re7+ Kg8 Re8+ Kh7 Re7+ Kg8 Re8+ Kf7 Rf8+ Kxf8 Kxg2 h3+ Kg1 Kg8 b4 axb4 Kf1 b3 Kg1 bxa2 Kh1 Kg7 Kg1 Kg8 Kh1 a1=R#,6k1/2p5/2p5/8/8/7p/7P/r6K w - - 0 50
White,39,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bc5 Be3 Bxd4 Nxd4 Nxd4 b3 c6 Bxd4 Be6 f3 exd4 Nxd5 cxd5 c3 Nxe4 fxe4 f6 Rb1 dxe4 cxd4 Qxd4 Bxe4 Qxe4+ Kf1 Qxg2+ Kxg2 Bd5+ Qxd5 Rf8 Rhe1#,r3kr2/pp4pp/5p2/3Q4/8/1P6/P5KP/1R2R3 b q - 2 20
Black,32,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Bh6 Be6 g3 Nxe4 Bxe4 f6 Bxg7 dxe4 Bxf6 exf3 Rg1 Nxd4 Qxd4 c6 Bxe5 Bxe5 Qxd8+ Rxd8 Rd1 Bxc3+ Kf1 Rxd1#,4k2r/pp5p/2p1b3/8/8/2b2pP1/PPP2P1P/3r1KR1 w k - 0 17
White,41,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 Nd5 Nxd5 f6 Nxf6+ Qxf6 c3 Qxf3 Bd3 Qxe4+ Bxe4 d5 f3 Bd6 Bf5 Bxf5 f4 Ne7 fxe5 Nc6 Be3 Bxe5 dxe5 Nxe5 Qxd5 Bb1 Qxe5+ Kf8 Qb5 Bxa2 O-O+ Bf7 Qxb7 c6 Qxf7#,r4k1r/p4Qpp/2p5/8/8/2P1B3/1P4PP/R4RK1 b - - 0 21
Black,72,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Nd7 Be3 Nf6 Nxe5 Nxe5 dxe5 Nh5 f3 Nf6 exf6 c6 fxg7 Bxg7 a4 Bxc3+ Kf1 f6 exd5 cxd5 Rc1 Be6 Bxa7 Bxb2 c3 Bxc3 Bd4 Bxd4 Bxh7 Rf8 Qxd4 Rc8 Qc3 Kd7 Qxc8+ Qxc8 Be4 Qxc1+ Kf2 Qe3+ Kxe3 dxe4 Rd1+ Bd5 Rxd5+ Kc8 Rd8+ Kxd8 fxe4 Kc8 Kf2 Kb8 Kg1 Re8 e5 fxe5 a5 Rf8 Kh1 Re8 Kg1 Rf8 Kh1 Rf1#,1k6/1p6/8/P3p3/8/8/6PP/5r1K w - - 7 37
Black,44,Nf3 Nf6 g3 Nc6 Nc3 e5 e4 d5 d4 Bd6 Bd3 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 Qxd4 c6 Qxe5+ fxe5 c3 cxd5 Nxe5 Bxe5 f3 Bxc3+ Kf1 Bxb2 Rd1 Be5 Rxd5 Qxd5 Bxa7 Qxf3+ Bf2 Qc6 Bd4 O-O+ Kg1 Bxd4#,r4rk1/1p4pp/2q5/8/3b4/6P1/P6P/6KR w - - 0 23
White,97,Nf3 Nf6 e3 Nc6 Bb5 e5 Nc3 d5 Bc4 Bd6 d4 Be6 Ng1 Nxd4 Nf3 Nxf3+ Qxf3 c6 Qxf6 Qxf6 Bxd5 cxd5 b4 O-O f3 Qh4+ Kf1 Bb8 h3 Qc4+ Kg1 Qxc3 Bd2 Bc8 Bxc3 f6 Bxe5 Bxe5 c3 Be6 Rf1 Bxc3 e4 Bd4+ Rf2 Bxf2+ Kf1 dxe4 fxe4 Bd4 Rg1 Bc4+ Ke1 Bc3+ Kd1 Rad8+ Kc1 Rd1+ Rxd1 Bxa2 h4 Be6 Kb1 Be5 Rd8 Rxd8 h5 Rd1+ Kc2 Rd2+ Kxd2 Bf4+ Ke1 Bd2+ Kf1 Be3 Ke2 Bc4+ Kxe3 Be6 Kf2 Bd5 exd5 Kh8 Kg1 Kg8 Kf1 Kh8 Kg1 Kg8 b5 Kh8 b6 Kg8 bxa7 Kh8 a8=R#,R6k/1p4pp/5p2/3P3P/8/8/6P1/6K1 b - - 0 49
White,27,Nf3 Nf6 Ne5 Nc6 Nc3 Nxe5 e4 d5 d4 e6 dxe5 c6 exf6 Bd6 fxg7 f6 Qxd5 Bf4 Qxd8+ Kxd8 Bxf4 Rf8 O-O-O+ Bd7 gxf8=R+ Ke7 Bd6#,r4R2/pp1bk2p/2pBpp2/8/4P3/2N5/PPP2PPP/2KR1B1R b - - 2 14
Black,42,Nf3 Nf6 Nc3 Nc6 e4 Nd5 Nxd5 e5 d4 f6 Nxf6+ Qxf6 c3 Qxf3 Bd3 Qxe4+ Bxe4 d5 f3 Bd6 Be3 Be6 Bxd5 Bxd5 dxe5 Bxe5 Qxd5 Bxc3+ Kf1 Bxb2 Qxc6+ bxc6 Re1 Be5 Bxa7 O-O Bd4 Rxf3+ Kg1 Bxd4+ Re3 Bxe3#,r5k1/2p3pp/2p5/8/8/4br2/P5PP/6KR w - - 0 22
White,57,Nf3 Nf6 Nc3 Nc6 e4 e5 d4 d5 Bd3 Bd6 Kf1 Be6 Be3 Nxe4 Bxe4 f6 Bxd5 Bxd5 Nxd5 Nxd4 g3 Nxf3 Qxf3 c6 Nxf6+ Qxf6 Bd2 Qxf3 c3 Qd3+ Kg1 Qxg3+ fxg3 Bc5+ Be3 Bxe3+ Kf1 O-O+ Ke1 Rf1+ Ke2 Rf2+ Kxe3 Rxb2 Rhf1 Rxh2 Rf8+ Rxf8 Rf1 Re2+ Kxe2 Rf2+ Kxf2 e4 Kg1 Kh8 Rf8#,5R1k/pp4pp/2p5/8/4p3/2P3P1/P7/6K1 b - - 3 29
White,73,Nf3 Nf6 Nc3 Nc6 e3 e5 d4 Nb8 Bd3 Nc6 h4 d6 Nxe5 dxe5 f3 Qxd4 exd4 h5 Be3 Bd6 dxe5 Be6 Nb1 Bxe5 Nc3 Bxc3+ Kf1 Bxb2 c3 a5 Rc1 Bxc3 Rxc3 O-O Rxc6 Rae8 Bg5 b5 Bxf6 Bxa2 Bxg7 f6 Bxf6 Be6 Rxe6 c6 Rxe8 Rxe8 Qb3+ Re6 Qxe6+ Kf8 Qd6+ Ke8 Qxc6+ Kf8 Qa6 Kg8 Qe6+ Kf8 Qd6+ Kg8 Qe6+ Kf8 Qd6+ Kg8 Be7 b4 Qe6+ Kh8 f4 b3 Bf6#,7k/8/4QB2/p6p/5P1P/1p1B4/6P1/5K1R b - - 1 37
Black,48,Nf3 Nf6 Nc3 Nc6 d3 e5 e4 d5 Be3 Bd6 Qe2 Be6 Nxe5 Bxe5 f3 Bxc3+ bxc3 Nxe4 fxe4 f6 exd5 Qxd5 Qh5+ Qxh5 Be2 Qxe2+ Kxe2 Nd4+ cxd4 c6 c3 O-O Kf1 Rae8 Re1 Bxa2 Kg1 Be6 Re2 Rf7 Rf2 Ref8 Rxf6 Rxf6 d5 cxd5 d4 Rf1#,5rk1/pp4pp/4b3/3p4/3P4/2P1B3/6PP/5rKR w - - 1 25
